id,sec,voltage,battery_remaining,current_drawn,ground_speed,air_speed,nav_roll,nav_pitch,nav_bearing,pitch,yaw,roll,alt,lat,lon,payload,distance_frm_home,velocity_x,velocity_y,velocity_z,mode,flight_time
193,386,14.848,64,14.85,0.02,0.02,NULL,NULL,301,0.00249808,-1.01998,-0.00945037,3.35,37.5993816,126.8635759,NULL,NULL,0.02,0,0,LOITER,389.511
194,388,14.852,63,15.11,0.03,0.03,NULL,NULL,301,0.0042213,-1.02064,-0.0148153,3.33,37.5993812,126.863575,NULL,NULL,0,0.01,0.02,LOITER,391.525
195,390,14.847,63,15.05,0.07,0.07,NULL,NULL,301,0.00418574,-1.0183,-0.00448339,3.33,37.5993806,126.8635753,NULL,NULL,0.07,0,0.03,LOITER,393.538
196,392,14.84,63,15.15,0.09,0.09,NULL,NULL,301,0.00796816,-1.01948,-0.00937562,3.34,37.5993811,126.8635759,NULL,NULL,0.02,0,0.03,LOITER,395.562
197,394,14.85,63,14.76,0.08,0.08,NULL,NULL,301,0.0171073,-1.02103,0.00197401,3.36,37.599381,126.8635753,NULL,NULL,0.04,-0.01,0,LOITER,397.575
198,396,14.839,63,14.89,0.16,0.16,NULL,NULL,301,0.00688864,-1.0214,-0.0172401,3.37,37.5993813,126.863576,NULL,NULL,0.09,0.06,0,LOITER,399.591
199,398,14.837,62,15.11,0.1,0.1,NULL,NULL,301,0.0103629,-1.02157,-0.0322346,3.33,37.5993824,126.8635766,NULL,NULL,0.03,-0.01,0.01,LOITER,401.606
200,400,14.849,62,16.72,0.06,0.06,NULL,NULL,301,0.00862381,-1.01888,-0.0112933,3.29,37.599382,126.8635764,NULL,NULL,-0.02,0,0.17,LOITER,403.62
201,402,14.834,62,15.29,0.15,0.15,NULL,NULL,301,0.00515015,-1.0202,-0.00126512,3.45,37.5993814,126.8635763,NULL,NULL,-0.04,0,0.03,LOITER,405.635
202,404,14.824,62,14.99,0.09,0.09,NULL,NULL,301,0.0534309,-1.01406,0.00950732,3.49,37.5993812,126.8635736,NULL,NULL,-0.02,0.05,-0.01,LOITER,407.649
203,406,14.816,62,15.38,0.16,0.16,NULL,NULL,301,0.0140698,-1.01393,0.0547024,3.44,37.5993799,126.8635765,NULL,NULL,0.12,0.24,0.02,LOITER,409.663
204,408,14.827,62,14.82,0.11,0.11,NULL,NULL,301,-0.0178407,-1.0206,-0.0139395,3.5,37.5993804,126.863581,NULL,NULL,-0.05,0.23,-0.02,LOITER,411.676
205,410,14.821,61,14.6,0.09,0.09,NULL,NULL,300,-0.0261495,-1.03579,0.00528086,3.47,37.5993795,126.8635822,NULL,NULL,0.01,-0.03,0,LOITER,413.691
206,412,14.799,61,15.58,0.04,0.04,NULL,NULL,301,-0.00360802,-1.02805,0.0130393,3.47,37.5993793,126.8635805,NULL,NULL,0,-0.07,0,LOITER,415.712
207,414,14.82,61,14.89,0.08,0.08,NULL,NULL,301,0.0262386,-1.02187,-0.0820916,3.46,37.5993812,126.8635811,NULL,NULL,-0.11,0,0,LOITER,417.725
208,416,14.806,61,15.16,0.4,0.4,NULL,NULL,301,-0.00166041,-1.02051,0.0583422,3.46,37.5993778,126.8635791,NULL,NULL,-0.09,0.01,0.01,LOITER,419.737
209,418,14.803,61,15.47,0.18,0.18,NULL,NULL,301,-0.115329,-1.02653,0.00431901,3.46,37.5993768,126.8635787,NULL,NULL,-0.02,-0.2,0,LOITER,421.748
210,420,14.795,61,15.31,0.09,0.09,NULL,NULL,301,-0.022725,-1.02084,0.0148775,3.5,37.599378,126.8635739,NULL,NULL,0.12,-0.14,-0.02,LOITER,423.758
211,422,14.769,60,15.65,0.15,0.15,NULL,NULL,301,-0.0156381,-1.02441,-0.00409245,3.53,37.5993791,126.8635744,NULL,NULL,-0.04,-0.01,0.14,LOITER,425.773
212,424,14.782,60,15.08,0.34,0.34,NULL,NULL,301,0.0308136,-1.02095,0.0138097,3.53,37.5993804,126.8635674,NULL,NULL,0,-0.04,0,LOITER,427.793
213,426,14.8,60,15.17,0.11,0.11,NULL,NULL,301,-0.054178,-1.02759,0.00519077,3.54,37.5993808,126.8635672,NULL,NULL,0.14,-0.04,-0.01,LOITER,429.806
214,428,14.799,60,14.74,0.03,0.03,NULL,NULL,301,-0.00187035,-1.02222,0.027757,3.51,37.5993824,126.8635639,NULL,NULL,-0.05,-0.04,0,LOITER,431.82
215,430,14.791,60,14.48,0.29,0.29,NULL,NULL,301,-0.0367113,-1.02374,0.00818362,3.54,37.5993846,126.8635619,NULL,NULL,0.19,-0.29,-0.01,LOITER,433.835
216,432,14.787,60,14.98,0.11,0.11,NULL,NULL,301,0.00963565,-1.01902,-0.0137072,3.53,37.5993872,126.863558,NULL,NULL,0.02,0.06,0.02,LOITER,435.848
217,434,14.796,59,14.88,0.04,0.04,NULL,NULL,301,-0.0259318,-1.01984,0.000625946,3.53,37.5993865,126.8635587,NULL,NULL,0.03,-0.04,0.03,LOITER,437.862
218,436,14.769,59,14.81,0.1,0.1,NULL,NULL,301,-0.0115727,-1.02457,-0.00548791,3.55,37.5993871,126.8635587,NULL,NULL,-0.04,-0.06,0.01,LOITER,439.878
219,438,14.77,59,15.16,0.09,0.09,NULL,NULL,301,-0.0160017,-1.02223,-0.00957113,3.55,37.5993858,126.8635577,NULL,NULL,0.04,-0.04,0.01,LOITER,441.897
220,440,14.777,59,14.68,0.04,0.04,NULL,NULL,301,-0.00690645,-1.02334,-0.00855884,3.54,37.5993856,126.8635568,NULL,NULL,0.05,0,0,LOITER,443.909
221,442,14.77,59,15.23,0.08,0.08,NULL,NULL,301,-0.0108266,-1.02714,-0.00322613,3.5,37.5993862,126.8635567,NULL,NULL,0.07,0.03,0.05,LOITER,445.923
222,444,14.781,59,14.47,0.18,0.18,NULL,NULL,301,-0.015777,-1.0194,0.0162331,3.52,37.599386,126.8635572,NULL,NULL,0.17,0.13,0.01,LOITER,447.937
223,446,14.768,58,15.04,0.09,0.09,NULL,NULL,301,-0.0107417,-1.01834,0.012893,3.53,37.5993864,126.8635579,NULL,NULL,0.09,0.02,0.02,LOITER,449.951
224,448,14.774,58,14.59,0.02,0.02,NULL,NULL,303,-0.0137795,-0.982068,0.00466815,3.5,37.5993867,126.8635575,NULL,NULL,0.02,0.02,0.04,LOITER,451.965
